Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Trade Date,Settlement Date,Settlement Status,Counterparty,Trading Venue,Trader Name,KYC Status,Reference Data Validated,Commission,Taxes,Total Cost,Confirmation Status,Country of Trade,Ops Team Notes,Pricing Source,Market Impact Cost,FX Rate Applied,Net Amount,Collateral Required,Margin Type,Margin Status
TID00001,OID00001,CID5962,US240362447,TSLA,Buy,942,721.36,679521.12,USD,1/24/2024,1/26/2024,Pending,Citibank,IEX,Trader A,Pending,No,679.52,1359.04,681559.68,Failed,US,Clean,Bloomberg,1.18,1.0442,670513.59,33976.06,Variation,Pending
TID00002,OID00002,CID2693,US511561515,BABA,Sell,916,742.23,679882.68,GBP,1/18/2024,1/20/2024,Confirmed,Goldman Sachs,IEX,Trader A,Failed,No,679.88,1359.77,681922.33,Settled,UK,Escalated,Bloomberg,4.94,0.8749,679457.62,33994.13,Variation,Satisfied
TID00003,OID00003,CID5299,US203344163,ADBE,Sell,928,1253,1162784,EUR,3/31/2024,4/2/2024,Pending,Morgan Stanley,BATS,Trader D,Pending,Yes,1162.78,2325.57,1166272.35,Failed,DE,Reviewed,ICE,4.88,0.9645,1149346.37,58139.2,Variation,Pending
TID00004,OID00004,CID4233,US918886777,NFLX,Sell,528,722.5,381480,USD,2/10/2024,2/12/2024,Settled,Citibank,NASDAQ,Trader B,Pending,No,381.48,762.96,382624.44,Failed,US,Reviewed,ICE,0.73,1.0119,389031.87,19074,Variation,Pending
TID00005,OID00005,CID7506,US403557069,NFLX,Buy,623,1165.74,726256.02,GBP,1/20/2024,1/22/2024,Settled,Citibank,NASDAQ,Trader C,Completed,Yes,726.26,1452.51,728434.79,Confirmed,US,Reviewed,Bloomberg,3.28,1.0459,721848.39,36312.8,Initial,Failed
TID00006,OID00006,CID1598,US182199097,GOOGL,Sell,514,707.02,363408.28,USD,2/18/2024,2/20/2024,Failed,Citibank,NYSE,Trader C,Failed,Yes,363.41,726.82,364498.5,Confirmed,US,Reviewed,ICE,4.65,0.8263,362824.16,18170.41,Initial,Pending
TID00007,OID00007,CID8072,US792919549,AMZN,Buy,121,1228.6,148660.6,GBP,2/18/2024,2/20/2024,Failed,Morgan Stanley,NASDAQ,Trader A,Completed,Yes,148.66,297.32,149106.58,Confirmed,DE,Escalated,ICE,1.36,0.9403,148658.45,7433.03,Variation,Satisfied
TID00008,OID00008,CID7079,US951500830,NVDA,Sell,730,1335.37,974820.1,EUR,4/3/2024,4/5/2024,Failed,JPMorgan,BATS,Trader A,Pending,Yes,974.82,1949.64,977744.56,Settled,US,Escalated,Bloomberg,1.32,0.9066,961593.25,48741.01,Variation,Failed
TID00009,OID00009,CID8079,US374814619,ADBE,Sell,386,1196.81,461968.66,USD,2/17/2024,2/19/2024,Confirmed,JPMorgan,NASDAQ,Trader C,Pending,Yes,461.97,923.94,463354.57,Failed,US,Clean,Bloomberg,1.39,0.837,470714.71,23098.43,Variation,Satisfied
TID00010,OID00010,CID3450,US736755554,AAPL,Sell,629,1057.79,665349.91,GBP,1/24/2024,1/26/2024,Pending,Citibank,BATS,Trader A,Pending,No,665.35,1330.7,667345.96,Pending,UK,Manual Check,Bloomberg,1.69,0.9109,653318.56,33267.5,Variation,Failed
TID00011,OID00011,CID1825,US463101969,AAPL,Buy,176,1009.04,177591.04,EUR,2/27/2024,2/29/2024,Settled,JPMorgan,NASDAQ,Trader D,Failed,Yes,177.59,355.18,178123.81,Confirmed,DE,Reviewed,Bloomberg,0.25,0.9542,179796.18,8879.55,Variation,Pending
TID00012,OID00012,CID5493,US138859211,BABA,Sell,859,1354.3,1163343.7,EUR,3/28/2024,3/30/2024,Pending,Citibank,NASDAQ,Trader A,Completed,No,1163.34,2326.69,1166833.73,Failed,DE,Escalated,ICE,3.42,0.9803,1165620.78,58167.18,Variation,Pending
TID00013,OID00013,CID4114,US311929322,ADBE,Buy,274,1355.76,371478.24,GBP,1/22/2024,1/24/2024,Confirmed,Morgan Stanley,BATS,Trader A,Completed,Yes,371.48,742.96,372592.67,Pending,UK,Reviewed,Reuters,4.6,1.1727,377941.8,18573.91,Variation,Satisfied
TID00014,OID00014,CID3503,US861733893,BABA,Buy,263,1463.38,384868.94,GBP,4/16/2024,4/18/2024,Settled,JPMorgan,BATS,Trader A,Pending,No,384.87,769.74,386023.55,Settled,DE,Clean,Reuters,1.85,0.9653,388599.71,19243.45,Variation,Satisfied
TID00015,OID00015,CID8748,US716657966,BABA,Buy,296,572.37,169421.52,USD,3/31/2024,4/2/2024,Pending,Citibank,IEX,Trader B,Pending,Yes,169.42,338.84,169929.78,Failed,UK,Clean,Reuters,4.96,0.8705,168325.4,8471.08,Variation,Pending
TID00016,OID00016,CID3859,US613556217,AAPL,Sell,353,1071.12,378105.36,GBP,3/26/2024,3/28/2024,Settled,Morgan Stanley,NYSE,Trader B,Completed,Yes,378.11,756.21,379239.68,Pending,UK,Escalated,Reuters,0.67,0.8417,376654.2,18905.27,Initial,Pending
TID00017,OID00017,CID1786,US927329389,GOOGL,Buy,450,1182.04,531918,USD,3/15/2024,3/17/2024,Settled,JPMorgan,BATS,Trader D,Failed,No,531.92,1063.84,533513.75,Settled,UK,Clean,ICE,3.07,1.02,540337.93,26595.9,Variation,Failed
TID00018,OID00018,CID3588,US212110852,NVDA,Buy,504,402.89,203056.56,GBP,2/29/2024,3/2/2024,Confirmed,Goldman Sachs,NYSE,Trader A,Pending,Yes,203.06,406.11,203665.73,Pending,US,Escalated,ICE,2.48,1.1275,202421.63,10152.83,Variation,Failed
TID00019,OID00019,CID9597,US708344912,AMZN,Sell,671,910.42,610891.82,USD,3/8/2024,3/10/2024,Failed,Citibank,IEX,Trader B,Completed,Yes,610.89,1221.78,612724.5,Pending,UK,Escalated,Bloomberg,1.4,1.1489,609508.19,30544.59,Variation,Failed
TID00020,OID00020,CID2179,US377248184,TSLA,Buy,724,784.03,567637.72,EUR,1/21/2024,1/23/2024,Settled,Citibank,IEX,Trader C,Pending,No,567.64,1135.28,569340.63,Failed,US,Reviewed,Bloomberg,1.56,0.9124,575227.81,28381.89,Variation,Pending
TID00021,OID00021,CID3462,US338997283,AMZN,Sell,423,1210.3,511956.9,USD,3/9/2024,3/11/2024,Pending,Morgan Stanley,NYSE,Trader C,Completed,Yes,511.96,1023.91,513492.77,Confirmed,US,Clean,Reuters,2.3,1.111,506879.18,25597.85,Initial,Failed
TID00022,OID00022,CID6403,US224688107,BABA,Sell,688,313.15,215447.2,EUR,3/29/2024,3/31/2024,Pending,Morgan Stanley,BATS,Trader C,Pending,No,215.45,430.89,216093.54,Failed,US,Clean,ICE,0.41,0.843,219663,10772.36,Initial,Pending
TID00023,OID00023,CID5173,US609387594,GOOGL,Buy,997,1061.27,1058086.19,USD,2/4/2024,2/6/2024,Confirmed,Citibank,NYSE,Trader C,Completed,Yes,1058.09,2116.17,1061260.45,Pending,US,Reviewed,Bloomberg,0.32,1.0262,1037101.62,52904.31,Initial,Pending
TID00024,OID00024,CID1575,US431561710,TSLA,Sell,471,1405.76,662112.96,GBP,3/28/2024,3/30/2024,Failed,Citibank,NYSE,Trader C,Failed,Yes,662.11,1324.23,664099.3,Pending,DE,Reviewed,ICE,0.98,1.16,662624.38,33105.65,Variation,Pending
TID00025,OID00025,CID9500,US725944965,AAPL,Sell,11,1269.24,13961.64,GBP,3/10/2024,3/12/2024,Settled,Goldman Sachs,BATS,Trader D,Completed,No,13.96,27.92,14003.52,Settled,DE,Reviewed,ICE,1.88,0.9735,14047.04,698.08,Initial,Pending
TID00026,OID00026,CID2619,US726315514,TSLA,Buy,696,1274.73,887212.08,GBP,4/1/2024,4/3/2024,Settled,Citibank,NYSE,Trader A,Failed,Yes,887.21,1774.42,889873.72,Confirmed,DE,Escalated,ICE,3.14,0.8926,873518.59,44360.6,Initial,Failed
TID00027,OID00027,CID8898,US544756731,NVDA,Sell,224,1254.35,280974.4,USD,3/24/2024,3/26/2024,Settled,Citibank,IEX,Trader C,Failed,Yes,280.97,561.95,281817.32,Pending,DE,Manual Check,Bloomberg,4.49,1.0428,276122.1,14048.72,Initial,Pending
TID00028,OID00028,CID8625,US470601172,ADBE,Sell,439,968.95,425369.05,GBP,3/20/2024,3/22/2024,Pending,Citibank,NYSE,Trader B,Completed,Yes,425.37,850.74,426645.16,Failed,US,Reviewed,Reuters,1.57,1.0957,431562.13,21268.45,Variation,Pending
TID00029,OID00029,CID2057,US173603600,NVDA,Sell,356,1077.01,383415.56,GBP,3/1/2024,3/3/2024,Settled,Citibank,NASDAQ,Trader A,Pending,Yes,383.42,766.83,384565.81,Pending,DE,Manual Check,Bloomberg,1.53,0.8733,378574.67,19170.78,Initial,Satisfied
TID00030,OID00030,CID6126,US859204885,AMZN,Sell,819,983.19,805232.61,GBP,2/12/2024,2/14/2024,Pending,Morgan Stanley,IEX,Trader D,Completed,Yes,805.23,1610.47,807648.31,Settled,DE,Escalated,Reuters,0.48,1.103,796740.86,40261.63,Initial,Satisfied
TID00031,OID00031,CID4521,US444878690,NVDA,Buy,605,318.22,192523.1,EUR,1/7/2024,1/9/2024,Failed,JPMorgan,NASDAQ,Trader D,Failed,No,192.52,385.05,193100.67,Failed,UK,Clean,Reuters,3.55,0.9969,195814.61,9626.16,Initial,Satisfied
TID00032,OID00032,CID9833,US511362334,NFLX,Buy,803,1392.03,1117800.09,GBP,2/11/2024,2/13/2024,Confirmed,JPMorgan,NYSE,Trader C,Completed,No,1117.8,2235.6,1121153.49,Settled,US,Escalated,Reuters,1.96,0.9801,1107369.95,55890,Variation,Satisfied
TID00033,OID00033,CID2486,US623162018,BABA,Buy,942,563.3,530628.6,USD,1/21/2024,1/23/2024,Confirmed,Morgan Stanley,IEX,Trader A,Failed,Yes,530.63,1061.26,532220.49,Confirmed,US,Escalated,ICE,2.77,1.0798,521860.32,26531.43,Variation,Pending
TID00034,OID00034,CID3303,US316010828,MSFT,Buy,523,490.53,256547.19,USD,4/6/2024,4/8/2024,Pending,Citibank,IEX,Trader B,Failed,No,256.55,513.09,257316.83,Settled,DE,Reviewed,ICE,0.76,0.8174,251423.69,12827.36,Variation,Failed
TID00035,OID00035,CID6632,US303681429,NVDA,Sell,54,1381.88,74621.52,USD,4/29/2024,5/1/2024,Confirmed,Citibank,BATS,Trader C,Completed,Yes,74.62,149.24,74845.38,Pending,DE,Reviewed,Reuters,1.11,1.0704,75170.21,3731.08,Initial,Failed
TID00036,OID00036,CID8148,US696783507,TSLA,Buy,524,598.92,313834.08,USD,3/24/2024,3/26/2024,Confirmed,Goldman Sachs,BATS,Trader D,Failed,No,313.83,627.67,314775.58,Pending,UK,Escalated,Bloomberg,4.69,0.914,316802.92,15691.7,Variation,Pending
TID00037,OID00037,CID3448,US845269714,MSFT,Buy,109,1297.53,141430.77,USD,4/13/2024,4/15/2024,Failed,Citibank,NASDAQ,Trader B,Pending,Yes,141.43,282.86,141855.06,Failed,DE,Manual Check,Bloomberg,2.01,1.0914,142540,7071.54,Initial,Pending
TID00038,OID00038,CID1248,US777621649,AAPL,Buy,514,1371.07,704729.98,GBP,3/2/2024,3/4/2024,Confirmed,Goldman Sachs,BATS,Trader D,Failed,No,704.73,1409.46,706844.17,Settled,UK,Manual Check,Bloomberg,4.76,0.9761,693832.79,35236.5,Initial,Satisfied
TID00039,OID00039,CID5796,US112219917,BABA,Buy,148,1271.71,188213.08,EUR,2/3/2024,2/5/2024,Settled,JPMorgan,IEX,Trader C,Completed,Yes,188.21,376.43,188777.72,Pending,US,Escalated,ICE,0.87,1.1207,188400.51,9410.65,Variation,Satisfied
TID00040,OID00040,CID4309,US504829074,BABA,Buy,228,309.17,70490.76,USD,4/19/2024,4/21/2024,Failed,Goldman Sachs,BATS,Trader C,Completed,No,70.49,140.98,70702.23,Settled,US,Clean,Bloomberg,3.19,1.0643,70680.61,3524.54,Variation,Failed
TID00041,OID00041,CID4536,US187405504,TSLA,Sell,276,770.92,212773.92,USD,3/29/2024,3/31/2024,Settled,Morgan Stanley,IEX,Trader C,Pending,No,212.77,425.55,213412.24,Failed,DE,Clean,Bloomberg,3.69,0.83,208748.69,10638.7,Initial,Failed
TID00042,OID00042,CID1242,US816630499,TSLA,Buy,274,496.97,136169.78,EUR,3/11/2024,3/13/2024,Settled,Morgan Stanley,NASDAQ,Trader D,Pending,Yes,136.17,272.34,136578.29,Pending,DE,Manual Check,Reuters,0.57,0.9987,138126.74,6808.49,Initial,Failed
TID00043,OID00043,CID1487,US674871357,NVDA,Sell,708,947.47,670808.76,EUR,4/2/2024,4/4/2024,Pending,Citibank,NASDAQ,Trader D,Completed,Yes,670.81,1341.62,672821.19,Settled,US,Escalated,Reuters,1.23,0.8411,677916.31,33540.44,Initial,Satisfied
TID00044,OID00044,CID7067,US590523117,MSFT,Sell,815,474.82,386978.3,EUR,2/16/2024,2/18/2024,Failed,JPMorgan,BATS,Trader C,Completed,No,386.98,773.96,388139.23,Confirmed,UK,Manual Check,Reuters,2.31,0.9434,384284.65,19348.92,Initial,Satisfied
TID00045,OID00045,CID7892,US971820697,NVDA,Buy,230,368.08,84658.4,EUR,2/29/2024,3/2/2024,Failed,Goldman Sachs,BATS,Trader A,Failed,Yes,84.66,169.32,84912.38,Pending,DE,Clean,Bloomberg,0.8,0.936,84102.1,4232.92,Variation,Satisfied
TID00046,OID00046,CID6879,US484858411,BABA,Buy,612,739.77,452739.24,GBP,3/25/2024,3/27/2024,Confirmed,Morgan Stanley,IEX,Trader A,Pending,Yes,452.74,905.48,454097.46,Pending,US,Manual Check,Reuters,2.82,0.8244,445145.42,22636.96,Variation,Pending
TID00047,OID00047,CID4297,US311809960,GOOGL,Sell,622,1130.32,703059.04,EUR,1/20/2024,1/22/2024,Confirmed,JPMorgan,IEX,Trader A,Completed,Yes,703.06,1406.12,705168.22,Failed,US,Manual Check,Reuters,4.07,0.8658,697738.04,35152.95,Initial,Failed
TID00048,OID00048,CID5807,US463417877,AAPL,Sell,975,1438.69,1402722.75,GBP,2/11/2024,2/13/2024,Failed,JPMorgan,NASDAQ,Trader B,Failed,No,1402.72,2805.45,1406930.92,Failed,UK,Escalated,Reuters,0.53,1.1037,1397758.02,70136.14,Initial,Pending
TID00049,OID00049,CID5829,US796664232,NVDA,Buy,426,672.88,286646.88,USD,2/26/2024,2/28/2024,Confirmed,Citibank,NASDAQ,Trader B,Failed,Yes,286.65,573.29,287506.82,Settled,UK,Escalated,ICE,3.15,1.1463,281880.62,14332.34,Variation,Pending
TID00050,OID00050,CID9833,US762207709,MSFT,Buy,973,1378.87,1341640.51,USD,4/21/2024,4/23/2024,Pending,Citibank,NYSE,Trader C,Pending,No,1341.64,2683.28,1345665.43,Pending,UK,Reviewed,ICE,0.47,0.826,1336654.42,67082.03,Variation,Satisfied
TID00051,OID00051,CID6818,US521862236,TSLA,Sell,491,1253.7,615566.7,USD,4/7/2024,4/9/2024,Confirmed,Citibank,NASDAQ,Trader D,Pending,Yes,615.57,1231.13,617413.4,Settled,DE,Manual Check,ICE,4.06,0.971,617759.59,30778.33,Variation,Pending
TID00052,OID00052,CID8422,US631021383,NFLX,Buy,390,1051.69,410159.1,USD,3/1/2024,3/3/2024,Settled,Goldman Sachs,NASDAQ,Trader C,Completed,Yes,410.16,820.32,411389.58,Pending,US,Clean,Bloomberg,2.59,1.0327,415729.74,20507.96,Variation,Pending
TID00053,OID00053,CID6348,US536979056,META,Buy,583,941.33,548795.39,EUR,4/7/2024,4/9/2024,Failed,JPMorgan,NASDAQ,Trader C,Failed,Yes,548.8,1097.59,550441.78,Failed,US,Clean,Bloomberg,1.7,0.9609,539591.8,27439.77,Variation,Failed
TID00054,OID00054,CID4789,US561125740,GOOGL,Sell,658,830.51,546475.58,GBP,4/25/2024,4/27/2024,Confirmed,Morgan Stanley,IEX,Trader C,Failed,Yes,546.48,1092.95,548115.01,Confirmed,UK,Clean,ICE,1.02,0.933,546219.31,27323.78,Variation,Satisfied
TID00055,OID00055,CID8687,US768312799,ADBE,Buy,474,331.35,157059.9,EUR,2/2/2024,2/4/2024,Failed,Citibank,NASDAQ,Trader A,Failed,Yes,157.06,314.12,157531.08,Failed,UK,Clean,Reuters,0.42,0.8662,156898.17,7852.99,Variation,Pending
TID00056,OID00056,CID3084,US552352193,META,Sell,773,262.34,202788.82,EUR,2/15/2024,2/17/2024,Confirmed,Morgan Stanley,NASDAQ,Trader B,Failed,No,202.79,405.58,203397.19,Settled,UK,Manual Check,ICE,2.11,0.997,205196.61,10139.44,Variation,Failed
TID00057,OID00057,CID9707,US307778674,ADBE,Buy,176,1489.09,262079.84,USD,4/11/2024,4/13/2024,Confirmed,Morgan Stanley,NASDAQ,Trader B,Failed,No,262.08,524.16,262866.08,Pending,US,Reviewed,Bloomberg,3.28,0.8626,261670.13,13103.99,Variation,Pending
TID00058,OID00058,CID6778,US438600198,GOOGL,Sell,286,974.9,278821.4,USD,1/30/2024,2/1/2024,Settled,Morgan Stanley,NYSE,Trader B,Completed,No,278.82,557.64,279657.86,Pending,US,Reviewed,Bloomberg,3.46,0.9282,277573.01,13941.07,Variation,Failed
TID00059,OID00059,CID5742,US597572676,MSFT,Buy,229,635.42,145511.18,GBP,2/26/2024,2/28/2024,Pending,Goldman Sachs,NYSE,Trader A,Completed,No,145.51,291.02,145947.71,Confirmed,DE,Reviewed,Bloomberg,3.76,1.1415,147741.15,7275.56,Variation,Satisfied
TID00060,OID00060,CID9195,US688143018,AAPL,Sell,719,1308.69,940948.11,USD,1/15/2024,1/17/2024,Confirmed,Goldman Sachs,NASDAQ,Trader C,Failed,Yes,940.95,1881.9,943770.95,Pending,DE,Clean,Reuters,0.52,0.8208,935558.68,47047.41,Initial,Satisfied
TID00061,OID00061,CID8459,US975554360,BABA,Buy,813,888.83,722618.79,GBP,4/29/2024,5/1/2024,Settled,Morgan Stanley,IEX,Trader C,Pending,Yes,722.62,1445.24,724786.65,Confirmed,DE,Escalated,Bloomberg,1.37,1.1371,713102.93,36130.94,Variation,Satisfied
TID00062,OID00062,CID7015,US180502694,META,Sell,832,206.06,171441.92,EUR,1/7/2024,1/9/2024,Settled,JPMorgan,IEX,Trader A,Failed,Yes,171.44,342.88,171956.25,Failed,US,Reviewed,Bloomberg,4.63,1.0298,171645.88,8572.1,Variation,Satisfied
TID00063,OID00063,CID2807,US562283653,BABA,Buy,843,312.69,263597.67,EUR,3/25/2024,3/27/2024,Pending,Citibank,NASDAQ,Trader B,Pending,No,263.6,527.2,264388.46,Settled,UK,Clean,Bloomberg,2.11,0.9652,261004.38,13179.88,Initial,Pending
TID00064,OID00064,CID4183,US758753118,MSFT,Sell,710,835.16,592963.6,EUR,1/16/2024,1/18/2024,Pending,Goldman Sachs,IEX,Trader D,Completed,Yes,592.96,1185.93,594742.49,Pending,UK,Reviewed,Reuters,0.15,0.8137,602681.77,29648.18,Variation,Satisfied
TID00065,OID00065,CID4381,US566705407,TSLA,Buy,713,234.84,167440.92,GBP,2/13/2024,2/15/2024,Confirmed,Morgan Stanley,IEX,Trader C,Pending,No,167.44,334.88,167943.24,Confirmed,US,Reviewed,ICE,1.1,1.1248,165252.75,8372.05,Initial,Satisfied
